train_number,train_name,train_type,source_code,dest_code,running_days,total_route_distance_km,total_halts
53341,Dhanbad-Muri Passenger,Pass,DHN,MURI,"SUN,MON,TUE,WED,THU,FRI,SAT",101,20
53342,Muri-Dhanbad Passenger,Pass,MURI,DHN,"SUN,MON,TUE,WED,THU,FRI,SAT",101,20
53347,Gomoh Barwadih Passenger,Pass,GMO,BRWD,"SUN,MON,TUE,WED,THU,FRI,SAT",255,33
53348,Barwadih Gomoh Passenger,Pass,BRWD,GMO,"SUN,MON,TUE,WED,THU,FRI,SAT",255,33
53350,Dehri on Sone Barwadih Passenger,Pass,DOS,BRWD,"SUN,MON,TUE,WED,THU,FRI,SAT",164,23
53351,Barwadih-Chunar Passenger,Pass,BRWD,CAR,"SUN,MON,TUE,WED,THU,FRI,SAT",303,26
53352,Chunar Chopan Passenger,Pass,CAR,CPU,"SUN,MON,TUE,WED,THU,FRI,SAT",103,8
53358,Dehari On Sone - Barkakana Passenger,Pass,DOS,BRKA,"SUN,MON,TUE,WED,THU,FRI,SAT",319,44
53359,Gomoh Barka Kana Passenger,Pass,GMO,BRKA,"SUN,MON,TUE,WED,THU,FRI,SAT",100,16
53360,Barkakana-NSBC Gomoh Passenger,Pass,BRKA,GMO,"SUN,MON,TUE,WED,THU,FRI,SAT",100,16
53361,Barka Kana Varanasi Passenger,Pass,BRKA,BSB,"SUN,MON,TUE,WED,THU,FRI,SAT",456,60
53362,Varanasi-Barkakana Passenger,Pass,BSB,BRKA,"SUN,MON,TUE,WED,THU,FRI,SAT",456,60
53364,Dehri On Sone Gaya Passenger,Pass,DOS,GAYA,"SUN,MON,TUE,WED,THU,FRI,SAT",85,13
53401,Sahibganj- Malda Town Passenger,Pass,SBG,MLDT,"SUN,MON,TUE,WED,THU,FRI,SAT",105,18
