station_code,station_name,state,railway_zone,address,latitude,longitude,is_valid_coordinate,is_test_dummy_record,metro_cluster
BNL,BEVINAHALU,Andhra Pradesh,SCR,"Rayalaseema Region, Andhra Pradesh",15.166974,77.21299,True,False,OTHER
VMC,VMC,UNKNOWN,UNKNOWN,,0.0,0.0,False,False,OTHER
SMNH,SOMNATH,Gujarat,WR,"Somnath, Gujarat",20.896132,70.408254,True,False,OTHER
CUPJ,CUDDALORE PORT,Tamil Nadu,SR,"Cuddalore Township, Tamil Nadu",11.715119,79.766287,True,False,OTHER
PLJ,PALEJ,UNKNOWN,UNKNOWN,,21.921578,73.072387,True,False,OTHER
GOLE,GOLE,Rajasthan,NWR,"National Highway 112, Rajasthan",25.891938,72.00004,True,False,OTHER
BDX,BDX,UNKNOWN,UNKNOWN,,0.0,0.0,False,False,OTHER
TRO,TIRORA,UNKNOWN,UNKNOWN,,21.415039,79.918035,True,False,OTHER
JMG,JAMGA,UNKNOWN,UNKNOWN,,21.874971,83.564842,True,False,OTHER
JMSY,JMSY,UNKNOWN,UNKNOWN,,0.0,0.0,False,False,Chennai
AHLR,AHALYAPUR,UNKNOWN,UNKNOWN,,26.468381,83.824844,True,False,OTHER
TEL,TENALI JN,UNKNOWN,UNKNOWN,,16.242409,80.640413,True,False,OTHER
TAT,Tummanamgutta,Andhra Pradesh,SCR,"Chennai - Anantpur Rd, Andhra Pradesh",13.707414,78.379263,True,False,Chennai
CU,CHAGALLU,UNKNOWN,UNKNOWN,,16.965077,81.690558,True,False,OTHER
PSDA,PASIVEDALA,UNKNOWN,UNKNOWN,,16.99331,81.700939,True,False,OTHER
MBGA,Marwar Bagra,Rajasthan,NWR,"SH 31, Rajasthan",25.208689,72.593761,True,False,OTHER
JNE,JANIYANA,Rajasthan,NWR,"State Highway 68, Rajasthan",25.827638,72.336284,True,False,OTHER
SMR,SAMDHARI JN,Rajasthan,NWR,"Barmer, Rajasthan",25.837202,72.573007,True,False,OTHER
SUT,SUTLANA,Rajasthan,NWR,"Dundara, Rajasthan",25.970783,72.951414,True,False,OTHER
PBR,PORBANDAR,Gujarat,WR,"Porbandar, Gujarat",21.643598,69.615506,True,False,OTHER
CKVD,Chikkandawadi,Karnataka,SWR,"Chikkandawadi, Karnataka",14.13792,76.202568,True,False,OTHER
BHG,Bhaton Ki Gali,Rajasthan,NWR,"Chomun, Rajasthan",27.105646,75.712919,True,False,OTHER
HMO,Hanumangarh Town,Rajasthan,NWR,"Hanumangarh, Rajasthan",29.574221,74.331202,True,False,OTHER
SANR,SARDARNAGAR,UNKNOWN,UNKNOWN,,26.700859,83.494054,True,False,OTHER
GRD,Giridih,Jharkhand,ER,"Giridih, Jharkhand",24.182256,86.314645,True,False,OTHER
CC,CHAURI CHAURA,UNKNOWN,UNKNOWN,,26.673882,83.545894,True,False,OTHER
KMPT,KOMATIPALLI,UNKNOWN,UNKNOWN,,18.023547,79.515892,True,False,OTHER
HSP,HASANPARTHI RD,UNKNOWN,UNKNOWN,,18.078262,79.50185,True,False,OTHER
GGY,Gagariya,Rajasthan,NWR,"State Highway 40, Rajasthan",25.741083,70.734877,True,False,OTHER
